iter	Passed	Remaining
0	3	3567
1	6	3292
2	9	3210
3	13	3464
4	18	3593
5	25	4232
6	31	4464
7	35	4413
8	41	4547
9	45	4514
10	49	4472
11	54	4510
12	58	4449
13	61	4324
14	66	4345
15	69	4289
16	73	4246
17	78	4264
18	82	4254
19	87	4287
20	91	4253
21	95	4242
22	99	4245
23	104	4255
24	109	4257
25	113	4238
26	116	4207
27	120	4176
28	124	4153
29	128	4151
30	132	4127
31	135	4106
32	139	4084
33	143	4081
34	148	4100
35	152	4092
36	156	4081
37	161	4081
38	165	4075
39	168	4054
40	172	4041
41	177	4046
42	180	4027
43	184	4010
44	188	4005
45	193	4013
46	197	4001
47	201	3986
48	204	3974
49	209	3976
50	213	3970
51	217	3957
52	220	3945
53	225	3946
54	229	3937
55	232	3922
56	236	3911
57	241	3920
58	245	3908
59	248	3895
60	252	3884
61	256	3881
62	262	3902
63	265	3890
64	270	3885
65	274	3885
66	278	3873
67	281	3861
68	285	3853
69	290	3862
70	294	3850
71	297	3840
72	302	3838
73	306	3834
74	310	3823
75	313	3813
76	317	3811
77	322	3809
78	325	3798
79	329	3789
80	334	3797
81	339	3795
82	344	3804
83	348	3799
84	352	3797
85	357	3801
86	361	3794
87	365	3785
88	370	3787
89	373	3778
90	377	3770
91	381	3762
92	385	3761
93	389	3751
94	393	3744
95	396	3736
96	401	3737
97	405	3729
98	409	3722
99	412	3713
100	417	3713
101	420	3704
102	424	3700
103	428	3692
104	433	3693
105	437	3685
106	440	3677
107	444	3669
108	448	3669
109	452	3662
110	456	3654
111	459	3646
112	464	3643
113	469	3650
114	473	3644
115	477	3636
116	481	3636
117	485	3630
118	489	3622
119	493	3617
120	497	3614
121	502	3616
122	506	3609
123	509	3601
124	514	3602
125	518	3594
126	521	3586
127	525	3578
128	530	3579
129	533	3573
130	537	3566
131	541	3559
132	547	3566
133	550	3559
134	554	3551
135	557	3544
136	562	3540
137	566	3541
138	570	3535
139	574	3528
140	579	3528
141	582	3521
142	586	3514
143	590	3507
144	594	3506
145	598	3500
146	602	3493
147	605	3487
148	610	3486
149	614	3480
150	617	3474
151	621	3467
152	625	3465
153	629	3458
154	633	3453
155	637	3449
156	642	3447
157	646	3443
158	650	3438
159	653	3431
160	657	3427
161	662	3426
162	666	3422
163	670	3416
164	674	3412
165	679	3411
166	682	3406
167	686	3400
168	691	3397
169	694	3392
170	698	3386
171	702	3380
172	706	3376
173	710	3372
174	713	3365
175	717	3360
176	721	3355
177	726	3354
178	730	3348
179	733	3342
180	737	3339
181	742	3338
182	746	3332
183	750	3326
184	754	3324
185	758	3320
186	762	3314
187	765	3307
188	769	3303
189	776	3308
190	780	3303
191	783	3297
192	788	3295
193	792	3290
194	795	3284
195	799	3278
196	803	3275
197	807	3270
198	811	3265
199	814	3259
200	818	3255
201	822	3250
202	826	3244
203	830	3238
204	834	3235
205	839	3234
206	842	3228
207	846	3222
208	850	3219
209	855	3216
210	858	3210
211	862	3205
212	866	3202
213	870	3198
214	875	3196
215	878	3190
216	883	3186
217	887	3183
218	891	3177
219	894	3172
220	898	3167
221	902	3164
222	906	3158
223	910	3153
224	913	3147
225	918	3145
226	922	3139
227	925	3134
228	929	3128
229	933	3126
230	937	3121
231	941	3116
232	945	3111
233	949	3109
234	953	3104
235	957	3100
236	961	3095
237	966	3093
238	969	3088
239	973	3083
240	977	3077
241	981	3074
242	986	3073
243	990	3069
244	994	3064
245	999	3064
246	1004	3062
247	1008	3059
248	1013	3058
249	1018	3055
250	1023	3052
251	1027	3050
252	1032	3049
253	1037	3045
